timeframe,date,open,high,low,close,volume,peak_or_valley,strength,permanent_strength
1min,2023-12-22 00:01:00+00:00,43858.2,43866.5,43858.1,43865.5,1.55492501,peak,300.0,True
1min,2023-12-22 00:07:00+00:00,43802.1,43806.2,43786.0,43786.0,1.08672228,peak,120.0,True
1min,2023-12-22 00:07:00+00:00,43802.1,43806.2,43786.0,43786.0,1.08672228,valley,180.0,True
1min,2023-12-22 00:10:00+00:00,43809.7,43809.9,43783.0,43790.1,1.05063684,valley,360.0,True
1min,2023-12-22 00:10:00+00:00,43809.7,43809.9,43783.0,43790.1,1.05063684,peak,300.0,True
1min,2023-12-22 00:12:00+00:00,43784.1,43796.8,43784.0,43796.2,0.62491845,peak,120.0,True
1min,2023-12-22 00:15:00+00:00,43787.9,43800.0,43783.0,43783.0,0.89976274,peak,120.0,True
1h,2023-12-22 00:17:00+00:00,43772.8,43809.2,43724.5,43809.0,23.50808579,valley,11580.0,True
1min,2023-12-22 00:26:00+00:00,43870.0,43888.0,43868.2,43874.2,2.43455506,peak,120.0,True
1min,2023-12-22 00:27:00+00:00,43870.6,43883.2,43864.2,43878.9,0.2919515,valley,240.0,True
1min,2023-12-22 00:29:00+00:00,43913.8,43924.0,43913.8,43923.9,0.57976013,peak,240.0,True
1min,2023-12-22 00:31:00+00:00,43892.9,43893.0,43888.9,43889.0,0.30726711,valley,180.0,True
15min,2023-12-22 00:34:00+00:00,43934.3,43940.0,43934.3,43937.1,0.99529355,peak,2100.0,True
1min,2023-12-22 00:39:00+00:00,43894.5,43894.5,43886.3,43890.1,0.47064165,peak,120.0,True
1min,2023-12-22 00:40:00+00:00,43890.1,43890.1,43883.7,43885.9,0.63300149,valley,120.0,True
1min,2023-12-22 00:41:00+00:00,43886.0,43894.5,43885.9,43891.7,0.82819829,peak,120.0,True
1min,2023-12-22 00:46:00+00:00,43844.7,43858.2,43842.7,43858.1,0.120855,valley,240.0,True
1min,2023-12-22 00:47:00+00:00,43858.1,43877.7,43858.1,43869.5,0.47657728,peak,300.0,True
15min,2023-12-22 00:51:00+00:00,43825.7,43825.8,43810.6,43810.6,0.34206998,valley,1980.0,True
1min,2023-12-22 00:55:00+00:00,43868.9,43880.7,43868.9,43880.7,0.45940067,peak,540.0,True
1min,2023-12-22 00:59:00+00:00,43836.7,43836.7,43824.9,43825.0,0.83342513,valley,420.0,True
1min,2023-12-22 01:00:00+00:00,43826.4,43853.2,43826.4,43849.0,0.46044307,peak,180.0,True
1min,2023-12-22 01:04:00+00:00,43838.4,43925.0,43838.3,43925.0,13.72356235,peak,240.0,True
1min,2023-12-22 01:06:00+00:00,43899.7,43899.7,43882.0,43882.7,0.5312417,valley,120.0,True
5min,2023-12-22 01:09:00+00:00,43934.2,43951.9,43934.2,43950.8,2.29756257,peak,600.0,True
1min,2023-12-22 01:12:00+00:00,43911.5,43911.5,43911.4,43911.4,0.29808331,valley,180.0,True
1min,2023-12-22 01:13:00+00:00,43911.4,43925.7,43911.4,43923.4,0.43545167,peak,120.0,True
1min,2023-12-22 01:15:00+00:00,43920.7,43932.0,43907.1,43916.9,0.50144962,peak,240.0,True
1min,2023-12-22 01:17:00+00:00,43907.1,43907.1,43894.9,43894.9,0.42183953,valley,540.0,True
1min,2023-12-22 01:20:00+00:00,43958.0,43973.0,43950.0,43968.2,18.5197244,peak,360.0,True
1min,2023-12-22 01:23:00+00:00,43946.4,43971.8,43934.5,43971.8,1.79568198,valley,240.0,True
1min,2023-12-22 01:23:00+00:00,43946.4,43971.8,43934.5,43971.8,1.79568198,peak,120.0,True
1min,2023-12-22 01:25:00+00:00,43965.3,43971.6,43947.7,43967.2,1.30855808,valley,120.0,True
1min,2023-12-22 01:27:00+00:00,43978.3,44000.0,43978.2,43991.1,2.33489366,peak,120.0,True
1min,2023-12-22 01:29:00+00:00,43997.1,44005.7,43997.0,44001.2,4.39200032,peak,180.0,True
1min,2023-12-22 01:31:00+00:00,43975.0,44005.2,43963.2,44005.2,1.35601791,valley,300.0,True
1min,2023-12-22 01:37:00+00:00,44165.2,44199.0,44150.1,44199.0,2.87974981,peak,120.0,True
5min,2023-12-22 01:39:00+00:00,44188.4,44209.0,44173.5,44191.1,2.33430549,peak,600.0,True
1min,2023-12-22 01:42:00+00:00,44135.3,44144.7,44124.9,44144.7,1.67267783,valley,360.0,True
1min,2023-12-22 01:43:00+00:00,44144.7,44179.9,44144.7,44173.8,5.25027925,peak,120.0,True
1min,2023-12-22 01:44:00+00:00,44173.8,44173.8,44129.4,44132.6,2.7630664,valley,120.0,True
1min,2023-12-22 01:45:00+00:00,44134.2,44193.4,44134.2,44193.4,0.38833455,peak,180.0,True
1min,2023-12-22 01:47:00+00:00,44157.8,44177.7,44141.4,44175.5,0.29498325,valley,120.0,True
1h,2023-12-22 01:49:00+00:00,44200.0,44254.4,44200.0,44240.9,4.51658492,peak,17100.0,True
1min,2023-12-22 01:53:00+00:00,44057.5,44082.4,44054.1,44081.5,3.81425424,valley,540.0,True
1min,2023-12-22 01:56:00+00:00,44136.2,44154.0,44132.0,44134.8,0.7333609,peak,240.0,True
1min,2023-12-22 01:58:00+00:00,44095.4,44118.9,44091.4,44117.7,1.11367489,valley,120.0,True
1min,2023-12-22 01:59:00+00:00,44117.7,44123.2,44107.0,44107.1,1.16794262,peak,120.0,True
5min,2023-12-22 02:02:00+00:00,44063.4,44087.8,44054.0,44074.8,6.9781943,valley,1140.0,True
1min,2023-12-22 02:05:00+00:00,44131.9,44143.7,44131.9,44143.6,0.95664208,peak,540.0,True
1min,2023-12-22 02:08:00+00:00,44085.0,44085.0,44071.1,44073.7,0.93781429,valley,360.0,True
1min,2023-12-22 02:12:00+00:00,44136.4,44136.5,44115.4,44115.4,0.55834027,peak,300.0,True
1min,2023-12-22 02:13:00+00:00,44115.4,44115.5,44080.1,44080.1,0.5704279,valley,120.0,True
1min,2023-12-22 02:15:00+00:00,44098.1,44098.1,44071.7,44080.2,1.06572272,valley,300.0,True
1min,2023-12-22 02:18:00+00:00,44131.9,44135.5,44085.5,44093.7,0.67447071,peak,360.0,True
1min,2023-12-22 02:23:00+00:00,44038.9,44038.9,44009.9,44016.2,0.91185622,valley,180.0,True
1min,2023-12-22 02:25:00+00:00,44036.0,44061.4,44032.9,44061.4,2.20690706,peak,240.0,True
15min,2023-12-22 02:28:00+00:00,43954.0,43954.0,43911.7,43941.3,4.20588794,valley,3840.0,True
1min,2023-12-22 02:31:00+00:00,43949.2,43988.7,43944.8,43979.9,3.78488901,peak,120.0,True
1min,2023-12-22 02:32:00+00:00,43979.9,43979.9,43936.2,43963.6,0.99419657,valley,120.0,True
1min,2023-12-22 02:34:00+00:00,44005.3,44036.0,44002.1,44033.9,1.79962648,peak,240.0,True
1min,2023-12-22 02:36:00+00:00,44001.5,44035.5,43996.7,44035.4,0.40239958,valley,180.0,True
5min,2023-12-22 02:39:00+00:00,44058.7,44079.9,44050.9,44066.8,0.67218833,peak,1140.0,True
1min,2023-12-22 02:42:00+00:00,44058.3,44058.3,44031.6,44031.9,0.06513206,peak,120.0,True
